path,expected_level,include_eval,notes
testdata/positive/confidential_email_001.csv,CONFIDENTIAL,true,"email + cccd"
testdata/positive/confidential_vn_id_001.txt,CONFIDENTIAL,true,"vn id sample"
testdata/positive/confidential_vn_id_002.docx,CONFIDENTIAL,true,"docx cccd"
testdata/positive/secret_api_key_001.env,SECRET,true,"api key"
testdata/positive/secret_credit_card_001.txt,SECRET,true,"credit card text"
testdata/positive/secret_credit_card_002.pdf,SECRET,true,"credit card pdf"
testdata/positive/secret_db_conn_001.go,SECRET,true,"db connection string"
testdata/positive/secret_token_001.log,SECRET,true,"access token in log"
testdata/positive/secret_cccd_ocr_001.png,CONFIDENTIAL,false,"requires OCR module"
testdata/positive/README.md,PUBLIC,false,"documentation sample"
testdata/negative/clean_barcode_001.csv,PUBLIC,true,"barcode only"
testdata/negative/clean_document_001.txt,PUBLIC,true,"clean business document"
testdata/negative/clean_part_number_001.pdf,PUBLIC,true,"part number only"
testdata/negative/clean_placeholder_001.md,PUBLIC,true,"placeholder values"
testdata/negative/clean_public_ip_001.log,PUBLIC,true,"public ip logs"
testdata/negative/clean_uuid_001.docx,PUBLIC,true,"uuid only"
testdata/negative/clean_uuid_001.txt,PUBLIC,true,"uuid only"
testdata/dataset_manifest.md,PUBLIC,false,"dataset documentation"
